Date ,Open,High,Low,Close,Volume,Adj Close
08-11-2024,1297.65,1301.65,1275,1283.75,19814406,1283.75
07-11-2024,1324,1324,1302.6,1305.65,9611974,1305.65
06-11-2024,1310,1328.3,1300.2,1325.35,21625209,1325.35
05-11-2024,1293,1309.55,1286.15,1305.3,16267479,1305.3
04-11-2024,1337.85,1340,1285.1,1302.15,19796890,1302.15
01-11-2024,1333.05,1341.95,1333,1338.65,2127335,1338.65
31-10-2024,1340,1343,1326.15,1332.05,9331650,1332.05
30-10-2024,1335,1350,1325.35,1343.9,11984423,1343.9
29-10-2024,1328.1,1343.2,1320.3,1340,12008361,1340
28-10-2024,1337,1353,1322.1,1334.35,10824350,1334.35
25-10-2024,2687,2688.7,2644,2655.7,9298748,2655.7
24-10-2024,2670.55,2687.4,2646.25,2679.6,11077967,2679.6
23-10-2024,2675,2714.95,2670,2677.05,8607371,2677.05
22-10-2024,2738.4,2752,2680.45,2686.7,7915980,2686.7
21-10-2024,2734.25,2748,2715.45,2738.4,7033704,2738.4
18-10-2024,2704.35,2736.85,2682.65,2718.6,6041226,2718.6
17-10-2024,2731.4,2736.9,2704.1,2712.85,7771830,2712.85
16-10-2024,2680,2728,2675.25,2708.15,10017219,2708.15
15-10-2024,2717.05,2743.4,2681.4,2688.05,16881397,2688.05
14-10-2024,2758.9,2760.15,2736.5,2745.05,6110716,2745.05
11-10-2024,2740,2766.55,2737.65,2744.2,3990061,2744.2
10-10-2024,2760.05,2772,2738.85,2742.1,11179323,2742.1
09-10-2024,2795.05,2801.95,2745,2749.2,7155305,2749.2
08-10-2024,2745.95,2802,2730.2,2794.7,8510404,2794.7
07-10-2024,2787,2793,2722.75,2741.45,11090670,2741.45
04-10-2024,2807.85,2834.7,2763.55,2773.05,18536438,2773.05
03-10-2024,2873.15,2898.8,2804.15,2813.95,18878647,2813.95
01-10-2024,2961.3,2975.9,2925.65,2929.65,8215821,2929.65
30-09-2024,3038.8,3049.95,2948.8,2953.15,13504407,2953.15
27-09-2024,2998,3066.95,2984,3052.35,10298739,3052.35
26-09-2024,2981.3,3008,2976.1,2995.9,9409499,2995.9
25-09-2024,2967.8,2993,2960.4,2987.9,3534501,2987.9
24-09-2024,2977,3001,2975.75,2978.75,8568722,2978.75
23-09-2024,2982,3003,2977.9,2986.75,4416157,2986.75
